(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	custom/building (24825 verts): 
		block1_4 (450 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block3__2 (392 verts)	-1	True	False	True	1	[block3D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		block10_2 (398 verts)	-1	True	False	True	1	[block10D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 4x2 times]
		block2_1_2 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block9_2 (265 verts)	-1	True	False	True	1	[block9D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		block6_4 (189 verts)	-1	True	False	True	1	[block6D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block8_2 (278 verts)	-1	True	False	True	1	[block8D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x2 times]
		block3__3 (392 verts)	-1	True	False	True	1	[block3D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		block3__3 (392 verts)	-1	True	False	True	1	[block3D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		block11_2 (588 verts)	-1	True	False	True	1	[block11D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x4 times]
		block1_2 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block2_1_2 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block4_3 (435 verts)	-1	True	False	True	1	[block4D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x4 times]
		block8_2 (278 verts)	-1	True	False	True	1	[block8D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x2 times]
		block1_3 (450 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block5_3 (429 verts)	-1	True	False	True	1	[block5D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x1 times]
		block9 (265 verts)	-1	True	False	True	1	[block9D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		block10_2 (398 verts)	-1	True	False	True	1	[block10D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 4x2 times]
		block8_3 (278 verts)	-1	True	False	True	1	[block8D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x2 times]
		block6 (189 verts)	-1	True	False	True	1	[block6D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block11_2 (588 verts)	-1	True	False	True	1	[block11D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x4 times]
		block11_3 (588 verts)	-1	True	False	True	1	[block11D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x4 times]
		block9_2 (265 verts)	-1	True	False	True	1	[block9D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		block6_3 (189 verts)	-1	True	False	True	1	[block6D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block1_6 (452 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block2_3 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block1_1_2 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block2_3 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block2_1 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block1_5 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block5_2 (429 verts)	-1	True	False	True	1	[block5D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x1 times]
		block11_3 (588 verts)	-1	True	False	True	1	[block11D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x4 times]
		block3__2 (392 verts)	-1	True	False	True	1	[block3D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
